Contract reference,Name,Province,Area,Primary Number,Collection name,House Hold Size,Registration Date
C320600018,A***,Lusaka,Chaminuka,XXXX9469,M***,8,9/15/2023
C321680019,J***,Lusaka,Chazanga,XXXX5440,J***,3,9/22/2023
C321720013,S***,Lusaka,Chazanga,XXXX7739,J***,4,9/23/2023
C321750010,L***,Lusaka,Jack Compound,XXXX7054,F***,3,9/25/2023
C321760019,A***,Lusaka,John Haward,XXXX0696,F***,5,9/25/2023
C321780017,M***,Lusaka,John Haward,XXXX1297,F***,4,9/25/2023
C321820011,F***,Lusaka,John Haward,XXXX3537,F***,7,9/25/2023
C322550013,B***,Lusaka,John Haward,XXXX7456,F***,4,9/29/2023
C322590019,A***,Lusaka,Jack Compound,XXXX4960,F***,5,9/29/2023
C322600016,F***,Lusaka,John Haward,XXXX8579,F***,6,9/29/2023
C322620014,G***,Lusaka,Jack Compound,XXXX1977,F***,7,9/29/2023
C325950012,G***,Lusaka,Chilenje,XXXX5618,I***,7,11/21/2023
C326000015,M***,Lusaka,Chilenje,XXXX1674,I***,9,11/21/2023
C326160017,L***,Lusaka,Kabwata,XXXX2918,I***,6,11/23/2023
C326340015,K***,Lusaka,6 Miles,XXXX3815,I***,8,11/22/2023
C326370012,M***,Lusaka,6 Miles,XXXX9049,E***,6,11/22/2023
C326450012,N***,Lusaka,Chilenje South,XXXX3102,I***,3,11/23/2023
C326500014,S***,Lusaka,Chilenje,XXXX9849,I***,12,11/23/2023
C326540010,P***,Lusaka,Kabwata,XXXX5907,I***,5,11/23/2023
C326770013,R***,Lusaka,Chalala,XXXX1375,F***,10,11/23/2023
C326890019,M***,Lusaka,Garden Compound,XXXX4493,M***,5,11/24/2023
C326900016,M***,Lusaka,Garden Compound,XXXX3731,M***,7,11/24/2023
C326910015,M***,Lusaka,Chazanga,XXXX8780,M***,9,11/24/2023
C327870010,S***,Lusaka,Ngombe,XXXX0187,B***,9,12/1/2023
C327920013,F***,Lusaka,Ngombe,XXXX4015,B***,6,12/1/2023
C327970018,L***,Lusaka,Ngombe,XXXX7127,B***,9,12/1/2023
C328020011,P***,Lusaka,Ngombe,XXXX8858,B***,7,12/1/2023
C328040019,E***,Lusaka,Ngombe,XXXX7117,B***,7,12/1/2023
C328070016,E***,Lusaka,Ngombe,XXXX1225,B***,6,12/1/2023
C328090014,M***,Lusaka,Ngombe,XXXX3742,B***,5,12/1/2023
C328310016,M***,Lusaka,Chawama,XXXX7318,F***,7,12/6/2023
C328330014,S***,Lusaka,Chawama,XXXX7765,F***,11,12/6/2023
C328350012,J***,Lusaka,John Haward,XXXX7468,F***,8,12/6/2023
C328390018,A***,Lusaka,John Haward,XXXX9171,F***,10,12/6/2023
C328400015,G***,Lusaka,Jack Compound,XXXX0595,F***,5,12/6/2023
C328740014,K***,Lusaka,Chilenje,XXXX9599,I***,6,12/8/2023
C328810015,B***,Lusaka,Chazanga,XXXX1264,J***,7,12/12/2023
C328900014,I***,Lusaka,Chilenje,XXXX8645,I***,5,12/13/2023
C328920012,D***,Lusaka,Chilenje,XXXX8422,I***,5,12/13/2023
C329010011,L***,Lusaka,Mandevu,XXXX4698,C***,8,12/14/2023
C329020010,C***,Lusaka,Mandevu,XXXX0261,C***,7,12/14/2023
C329090013,B***,Lusaka,Mandevu,XXXX0561,C***,6,12/14/2023
C329250013,M***,Lusaka,Chazanga,XXXX7714,J***,6,12/15/2023
C329260012,G***,Lusaka,Chazanga,XXXX5337,J***,7,12/15/2023
C329370019,M***,Lusaka,Chazanga,XXXX3489,J***,2,12/15/2023
C329680011,B***,Lusaka,Ngombe,XXXX7987,B***,5,12/19/2023
C329690010,F***,Lusaka,Ngombe,XXXX7187,J***,6,12/19/2023
C332350016,A***,Lusaka,Chazanga,XXXX5952,J***,6,5/15/2024
C333250017,K***,Lusaka,John Haward,XXXX9669,F***,6,4/22/2024
C333260016,B***,Lusaka,Jack Compound,XXXX7647,M***,9,4/22/2024
C333300010,F***,Lusaka,Jack Compound,XXXX3729,M***,9,4/22/2024
C333330017,A***,Lusaka,Jack Compound,XXXX5090,M***,6,4/22/2024
C333410017,R***,Lusaka,Jack Compound,XXXX1076,M***,6,4/23/2024
C333510014,A***,Lusaka,Jack Compound,XXXX6690,M***,8,4/23/2024
C333570018,F***,Lusaka,Jack Compound,XXXX8522,M***,7,4/23/2024
C333600013,M***,Lusaka,Jack Compound,XXXX7024,M***,5,4/23/2024
C333710010,L***,Lusaka,Chilenje South,XXXX7247,I***,5,4/23/2024
C333800019,M***,Lusaka,Chilenje,XXXX5379,I***,9,4/23/2024
C333910016,H***,Lusaka,Chilenje,XXXX3998,I***,7,4/23/2024
C334080017,D***,Lusaka,15 Miles,XXXX9273,S***,11,4/24/2024
C334450012,S***,Lusaka,Ngombe,XXXX5306,B***,7,4/25/2024
C334630019,S***,Lusaka,Ngombe,XXXX0190,B***,6,4/25/2024
C336090014,R***,Lusaka,Zanimuone,XXXX4613,G***,4,5/8/2024
C336170014,F***,Lusaka,Zanimuone,XXXX5500,G***,3,5/8/2024
C336260013,E***,Lusaka,Zanimuone,XXXX9042,G***,5,5/8/2024
C336310016,G***,Lusaka,Zanimuone,XXXX7340,G***,6,5/8/2024
C336340013,S***,Lusaka,6 Miles,XXXX3450,G***,4,5/9/2024
C336360011,M***,Lusaka,6 Miles,XXXX9706,G***,7,5/9/2024
C336420013,M***,Lusaka,6 Miles,XXXX7190,G***,8,5/9/2024
C336500012,G***,Lusaka,6 Miles,XXXX2674,G***,6,5/9/2024
C336530019,A***,Lusaka,6 Miles,XXXX2144,G***,5,5/9/2024
C336600010,D***,Lusaka,6 Miles,XXXX5863,G***,5,5/9/2024
C336620018,L***,Lusaka,6 Miles,XXXX2622,G***,8,5/9/2024
C336650015,G***,Lusaka,6 Miles,XXXX0466,G***,10,5/9/2024
C336680012,G***,Lusaka,Zanimuone,XXXX4181,D***,7,5/10/2024
C336740014,B***,Lusaka,Zanimuone,XXXX1177,D***,5,5/10/2024
C336750013,A***,Lusaka,Zanimuone,XXXX7259,D***,5,5/10/2024
C336780010,E***,Lusaka,Zanimuone,XXXX6526,D***,7,5/10/2024
C336800016,I***,Lusaka,Zanimuone,XXXX6666,D***,2,5/10/2024
C336830013,K***,Lusaka,Zanimuone,XXXX4419,D***,4,5/10/2024
C336850011,J***,Lusaka,Zanimuone,XXXX2573,D***,5,5/10/2024
C336860010,J***,Lusaka,Zanimuone,XXXX9596,D***,3,5/10/2024
C336870019,M***,Lusaka,Zanimuone,XXXX4450,D***,4,5/10/2024
C336890017,F***,Lusaka,Zanimuone,XXXX4271,D***,5,5/10/2024
C337020010,D***,Lusaka,Zanimuone,XXXX3936,D***,5,5/10/2024
C337540017,A***,Lusaka,6 Miles,XXXX1092,E***,3,5/13/2024
C337770010,A***,Lusaka,15 Miles,XXXX0062,S***,9,5/13/2024
C337860019,B***,Lusaka,15 Miles,XXXX5500,E***,5,5/13/2024
C339610016,F***,Lusaka,Waterfalls,XXXX7330,J***,4,5/24/2024
C340590017,J***,Lusaka,George,XXXX1381,S***,6,6/11/2024
C340650019,M***,Lusaka,Libala South,XXXX1647,A***,3,6/12/2024
C340660018,C***,Lusaka,Mtendere Main,XXXX8220,J***,5,6/12/2024
C340700012,M***,Lusaka,Mtendere Main,XXXX3749,J***,7,6/12/2024
C340720010,M***,Lusaka,Mtendere,XXXX4040,J***,8,6/12/2024
C340860014,J***,Lusaka,Kasupe,XXXX9980,J***,1,6/13/2024
C340870013,C***,Lusaka,Kasupe,XXXX2847,J***,7,6/13/2024
C340970011,E***,Lusaka,Kasupe,XXXX8147,J***,7,6/13/2024
C341110013,C***,Lusaka,Kasupe,XXXX2516,J***,6,6/13/2024
C341190015,G***,Lusaka,Kasupe,XXXX2583,J***,7,6/13/2024
C341280014,M***,Lusaka,Ngombe,XXXX7010,J***,5,6/14/2024
C341340016,F***,Lusaka,Ngombe,XXXX5000,J***,5,6/14/2024
C341410017,D***,Lusaka,Ngombe,XXXX4501,J***,5,6/14/2024
C341420016,C***,Lusaka,Ngombe,XXXX6263,J***,8,6/14/2024
C341510014,J***,Lusaka,Ngombe,XXXX2035,J***,11,6/14/2024
C341530012,L***,Lusaka,Ngombe,XXXX3331,J***,4,6/14/2024
C341550010,M***,Lusaka,Ngombe,XXXX0780,J***,7,6/14/2024
C341560019,J***,Lusaka,Ngombe,XXXX7191,J***,8,6/14/2024
C341700011,V***,Lusaka,Ngombe,XXXX3960,J***,11,6/14/2024
C341720019,T***,Lusaka,Ngombe,XXXX9599,J***,6,6/14/2024
C341790012,J***,Lusaka,Ngombe,XXXX8494,J***,11,6/14/2024
C342260015,J***,Lusaka,Chazanga,XXXX7648,J***,5,6/17/2024
C342390010,R***,Lusaka,Kanyama,XXXX9080,D***,6,6/18/2024
C342400017,S***,Lusaka,Kanyama,XXXX3897,D***,7,6/18/2024
C342640018,A***,Lusaka,Garden House,XXXX6899,E***,5,6/18/2024
C342670015,R***,Lusaka,Garden House,XXXX5347,E***,7,6/18/2024
C343000014,F***,Lusaka,Jack Compound,XXXX3896,L***,4,6/19/2024
C343250015,C***,Lusaka,Chilanga,XXXX0262,M***,9,6/21/2024
C343290011,I***,Lusaka,Chilanga,XXXX5302,M***,4,6/21/2024
C343300018,B***,Lusaka,Chilanga,XXXX7585,M***,4,6/21/2024
C343470019,A***,Lusaka,Chilenje,XXXX9594,A***,3,6/24/2024
C343480018,G***,Lusaka,Chilenje,XXXX9306,A***,5,6/24/2024
C343610010,A***,Lusaka,Chilenje,XXXX5975,A***,6,6/25/2024
C343660015,M***,Lusaka,Libala South,XXXX3760,I***,7,6/24/2024
C343830014,R***,Lusaka,Chilenje,XXXX7039,I***,4,6/25/2024
C343860011,S***,Lusaka,Chilenje,XXXX2096,I***,5,6/25/2024
C343900015,F***,Lusaka,Chilenje,XXXX4626,I***,6,6/25/2024
C344130018,I***,Lusaka,Chilenje South,XXXX3328,I***,6,6/25/2024
C344160015,A***,Lusaka,Chilenje,XXXX4929,I***,6,6/25/2024
C344410014,M***,Lusaka,Matero,XXXX7612,A***,7,6/26/2024
C344930011,A***,Lusaka,Chilenje,XXXX9805,I***,5,7/8/2024
C345040018,C***,Lusaka,Chalala,XXXX6796,I***,4,7/8/2024
C345370019,V***,Lusaka,Mtendere Main,XXXX1482,A***,4,7/9/2024
C345630016,L***,Lusaka,Chilenje,XXXX1674,L***,5,7/10/2024
C345900013,R***,Lusaka,Chazanga,XXXX8590,J***,4,7/11/2024
C346280019,F***,Lusaka,Chilenje,XXXX7344,L***,6,7/16/2024
C346300015,R***,Lusaka,Chilenje,XXXX5075,L***,7,7/16/2024
C346330012,O***,Lusaka,Libala South,XXXX2076,L***,6,7/16/2024
C346450018,R***,Lusaka,Chunga,XXXX8500,A***,4,7/17/2024
C346490014,M***,Lusaka,Matero,XXXX8614,A***,7,7/17/2024
C346620016,D***,Lusaka,Matero,XXXX4312,A***,5,7/17/2024
C346700016,A***,Lusaka,Matero,XXXX6333,A***,6,7/17/2024
C346730013,S***,Lusaka,Kaunda Square Stage One,XXXX8392,J***,4,7/18/2024
C346750011,J***,Lusaka,Kaunda Square Stage One,XXXX4902,J***,4,7/18/2024
C346780018,G***,Lusaka,Ngwerere,XXXX6173,J***,6,7/18/2024
C349320010,J***,Lusaka,Ngombe,XXXX4870,J***,6,5/26/2025
C349330019,A***,Lusaka,Ngombe,XXXX2468,G***,3,5/26/2025
C349400010,M***,Lusaka,Ngombe,XXXX6073,G***,7,6/5/2025
C349450015,G***,Lusaka,Ngombe,XXXX5655,G***,8,5/26/2025
C349480012,E***,Lusaka,Garden Compound,XXXX5992,M***,5,5/28/2025
